Algorithm,Config,Mean Reward,Mean Health,Win Rate
DQN,dqn_baseline,209.10,76.76%,90%
DQN,dqn_low_lr,112.65,75.69%,80%
DQN,dqn_high_lr,137.05,78.67%,95%
DQN,dqn_large_buffer,218.95,76.41%,75%
DQN,dqn_small_batch,54.70,77.07%,90%
DQN,dqn_high_explore,226.10,77.26%,85%
DQN,dqn_low_gamma,258.45,80.59%,95%
DQN,dqn_fast_target,119.30,75.01%,80%
DQN,dqn_slow_target,198.78,74.43%,70%
DQN,dqn_aggressive,306.80,79.94%,95%
PPO,ppo_baseline,-58.85,74.91%,85%
PPO,ppo_low_lr,-49.75,73.66%,65%
PPO,ppo_high_lr,-5.47,82.74%,90%
PPO,ppo_wide_clip,-88.12,80.53%,90%
PPO,ppo_narrow_clip,-86.28,76.26%,75%
PPO,ppo_high_entropy,-122.92,72.73%,75%
PPO,ppo_long_horizon,-51.90,77.53%,90%
PPO,ppo_short_horizon,-42.00,80.98%,90%
PPO,ppo_many_epochs,-49.98,78.06%,95%
PPO,ppo_tuned,31.02,75.58%,85%
A2C,a2c_baseline,-72.40,83.22%,100%
A2C,a2c_low_lr,98.33,76.68%,85%
A2C,a2c_high_lr,-339.50,92.74%,100%
A2C,a2c_long_steps,0.33,80.33%,95%
A2C,a2c_short_steps,153.47,80.26%,90%
A2C,a2c_high_entropy,142.07,78.93%,80%
A2C,a2c_low_vf,91.60,81.91%,90%
A2C,a2c_high_vf,235.95,79.58%,90%
A2C,a2c_low_gamma,150.62,79.57%,85%
A2C,a2c_tuned,54.73,81.88%,90%
REINFORCE,reinforce_baseline,-95.30,74.06%,70%
REINFORCE,reinforce_low_lr,-112.85,72.96%,65%
REINFORCE,reinforce_high_lr,57.30,76.77%,90%
REINFORCE,reinforce_low_gamma,-50.15,76.60%,85%
REINFORCE,reinforce_high_gamma,-48.80,77.33%,95%
REINFORCE,reinforce_slow,-56.30,76.23%,90%
REINFORCE,reinforce_fast,110.60,79.42%,90%
REINFORCE,reinforce_balanced,-18.90,78.09%,95%
REINFORCE,reinforce_cautious,-82.15,74.90%,80%
REINFORCE,reinforce_bold,-95.20,73.18%,70%
